Years_Played,H,BB,HR,AVE,OBP,Slug_Percent,OPS,RBI,R,SB,2B,3B,AB,SO,DPf,Af,Ef,YSLS,G_all,debut_age,weight,height
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,1.0,0.0,0.0,0.0,62.0,1,24.0,210.0,77.0
5,10,3,1,0.12195121951219512,0.14772727272727273,0.2195121951219512,0.367239467849224,5.0,9,0.0,3,1,82,45.0,3.0,37.0,1.0,43.0,108,22.0,190.0,73.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,7,2.0,0.0,4.0,0.0,46.0,25,22.0,190.0,73.0
2,17,7,4,0.1619047619047619,0.20689655172413796,0.29523809523809524,0.5021346469622332,17.0,7,1.0,2,0,105,21.0,0.0,1.0,0.0,30.0,47,26.0,185.0,71.0
4,67,35,4,0.2113564668769716,0.28493150684931506,0.31230283911671924,0.5972343459660343,28.0,43,0.0,18,1,317,45.0,64.0,292.0,11.0,19.0,147,27.0,175.0,70.0
2,6,6,0,0.17142857142857146,0.26666666666666666,0.17142857142857146,0.4380952380952381,1.0,4,0.0,0,0,35,12.0,0.0,26.0,1.0,70.0,35,28.0,175.0,72.0
8,541,126,34,0.25749643027129937,0.29912663755458513,0.3774393146120895,0.6765659521666746,201.0,286,81.0,92,29,2101,316.0,337.0,1474.0,44.0,9.0,648,21.0,175.0,70.0
3,25,15,0,0.20491803278688525,0.2949640287769784,0.2540983606557377,0.5490623894327161,11.0,11,0.0,2,2,122,40.0,3.0,6.0,5.0,60.0,79,19.0,205.0,75.0
5,497,200,61,0.2698154180238871,0.3416867469879518,0.43539630836047777,0.7770830553484296,289.0,268,7.0,90,16,1842,197.0,12.0,61.0,43.0,75.0,557,26.0,190.0,72.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,1.0,0.0,58.0,1,23.0,200.0,75.0
9,410,107,46,0.2478839177750907,0.2931995540691193,0.3948004836759371,0.6880000377450564,211.0,171,20.0,63,21,1654,284.0,66.0,63.0,16.0,46.0,691,24.0,182.0,72.0
3,2,1,0,0.6666666666666666,0.75,0.6666666666666666,1.4166666666666663,0.0,1,0.0,0,0,3,0.0,0.0,3.0,1.0,51.0,6,24.0,220.0,77.0
