,PEAK,OPS,G,salary_inf,weight,height,age,bats_B,bats_L,bats_R,throws_L,throws_R
0,1,0.7353713768115941,330,382409.17775,180.0,71.0,27,0,0,1,0,1
1,0,0.6040914560770156,111,389285.71413000004,215.0,75.0,26,0,0,1,0,1
2,0,0.5993215704034001,117,286826.01449,185.0,73.0,25,0,0,1,0,1
3,1,0.7172815586967201,2017,9604268.568,220.0,72.0,37,0,1,0,0,1
4,0,0.6915418104945709,409,1723700.8866,205.0,73.0,26,0,1,0,0,1
5,0,0.6065700483091787,121,509500.0,185.0,72.0,25,1,0,0,0,1
6,1,0.7802489729095234,368,1650000.0,260.0,75.0,28,0,1,0,0,1
7,0,0.7072596297688549,139,388325.652768,205.0,72.0,25,0,1,0,0,1
8,1,0.8684472049689441,220,306620.20906,225.0,72.0,29,0,0,1,0,1
9,0,0.634000230204987,134,514936.708938,195.0,74.0,25,0,0,1,0,1
10,1,0.6861917003305178,265,324598.4784,180.0,71.0,27,0,1,0,1,0
11,1,0.5856118332586284,209,853658.5365875,150.0,70.0,29,0,0,1,0,1
12,1,0.6717919874227475,1476,9216589.86,210.0,71.0,32,0,0,1,0,1
13,1,0.6874069923103265,857,1084133.2584000002,165.0,69.0,36,1,0,0,0,1
14,1,0.583069488418597,345,454838.709685,220.0,77.0,28,0,0,1,0,1
15,0,0.7245123107192073,137,288115.246,195.0,73.0,24,0,0,1,0,1
16,0,0.6791289743883355,108,239252.33648000003,178.0,72.0,25,0,0,1,0,1
17,1,0.701430353800909,858,569343.06572,180.0,75.0,34,0,0,1,0,1
18,1,0.7075500770416026,2183,10592103.169812704,184.0,72.0,34,1,0,0,0,1
19,1,0.6222860918027974,501,4012269.93855,200.0,77.0,32,0,0,1,0,1
20,1,0.6830093906966587,414,2650000.0,230.0,73.0,29,0,1,0,0,1
21,1,0.9175644028103045,1633,8909370.198,185.0,75.0,39,0,0,1,0,1
22,0,0.8262595492139655,682,5731704.0,250.0,75.0,29,0,1,0,0,1
23,0,0.747550052687039,228,688336.51995,175.0,72.0,34,0,0,1,0,1
24,1,0.5440991839296925,517,1164556.9622,160.0,66.0,26,0,1,0,0,1
25,1,0.6342857142857143,243,411214.95332500007,170.0,70.0,32,1,0,0,0,1
26,1,0.6788717978428589,390,1053413.840745,165.0,71.0,30,1,0,0,0,1
27,1,0.61062124248497,1523,9757199.325600002,170.0,73.0,37,0,1,0,1,0
28,0,0.7087153972983136,243,440315.83819499996,220.0,74.0,26,0,0,1,0,1
29,1,0.6442982456140351,345,532544.378625,185.0,74.0,28,0,0,1,0,1
30,1,0.7045804639362088,2143,2797202.7975000003,190.0,75.0,37,0,1,0,1,0
31,1,0.7537642885297595,911,1101190.47575,190.0,70.0,32,0,1,0,0,1
32,1,0.5877063679245282,266,1358885.0171,185.0,71.0,28,0,0,1,0,1
33,0,0.7694676767234458,277,662576.6871,215.0,73.0,27,0,0,1,0,1
34,1,0.659274399591211,364,1600711.4279999998,210.0,73.0,32,0,1,0,1,0
