Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP
Fernando Abad,31,Boston,FF,769,84.73407022,0.048114434,48,0,2,1,43.2
Tim Adleman,29,Cincinnati,FF,2088,86.41224196,0.051724138,30,20,5,11,122.1
Andrew Albers,31,Seattle,SI,723,83.84716459,0.051175657,9,6,5,1,41
Matt Albers,34,Washington,FF,1007,90.99879518,0.062562066,63,0,7,2,61
Al Alburquerque,31,"Kansas City,Chicago",SL,263,90.38212928,0.053231939,21,0,,2,18
Raul Alcantara,24,Oakland,FF,444,92.02957111,0.027027027,8,4,1,2,24
Scott Alexander,27,Kansas City,SI,1059,92.76723324,0.055712937,58,0,5,4,69
Cody Allen,28,Cleveland,FF,1277,89.77225705,0.078308536,69,0,3,7,67.1
Dan Altavilla,24,Seattle,FF,768,93.43777778,0.067708333,41,0,1,1,46.2
Jose Alvarado,22,Tampa Bay,FF,463,95.27424242,0.062634989,35,0,,3,29.2
Dario Alvarez,28,Texas,SL,321,85.9078125,0.052959502,20,0,2,,16.1
Henderson Alvarez,27,Philadelphia,FF,261,88.54214559,0.022988506,3,3,,1,14.2
Jose Alvarez,28,Los Angeles,FF,760,86.82434211,0.059210526,64,0,,3,48.2
Brett Anderson,29,"Chicago,Toronto",SI,900,85.90602007,0.042222222,13,13,4,4,55.1
Chase Anderson,29,Milwaukee,FF,2254,88.3776988,0.059006211,25,25,12,4,141.1
Tyler Anderson,27,Colorado,FF,1416,88.10176929,0.057909605,17,15,6,6,86
Matt Andriese,27,Tampa Bay,FF,1441,87.8792887,0.052741152,18,17,5,5,86
Jayson Aquino,24,Baltimore,FF,237,85.35189873,0.054852321,4,2,1,2,13.1
Victor Arano,22,Philadelphia,SL,172,88.00697674,0.075581395,10,0,1,,10.2
Chris Archer,28,Tampa Bay,FF,3406,91.7721519,0.073106283,34,34,10,12,201
Shawn Armstrong,26,Cleveland,FF,430,91.42604651,0.046511628,21,0,1,,24.2
Jake Arrieta,31,Chicago,SI,2944,89.28559235,0.059782609,30,30,14,10,168.1
Bronson Arroyo,40,Cincinnati,CU,1159,77.5435048,0.038826575,14,14,3,6,71
Alec Asher,25,Baltimore,FT,1069,87.71189139,0.043966324,24,6,2,5,60
Luis Avilan,27,Los Angeles,CH,829,86.99140436,0.062726176,61,0,2,3,46
John Axford,34,Oakland,FT,473,91.93382664,0.044397463,22,0,,1,21
Pedro Baez,29,Los Angeles,FF,1174,94.61822828,0.05451448,66,0,3,6,64
Homer Bailey,31,Cincinnati,FF,1575,90.14685315,0.042539683,18,18,6,9,91
Anthony Banda,23,Arizona,FF,418,89.91004785,0.059808612,8,4,2,3,25.2
Johnny Barbato,24,Pittsburgh,FT,478,88.79433962,0.048117155,24,0,,1,28.2
Danny Barnes,27,Toronto,FF,1063,88.12351834,0.058325494,60,0,3,6,66
Jacob Barnes,27,Milwaukee,FF,1228,93.97229014,0.06514658,73,0,3,4,72
Matt Barnes,27,Boston,FF,1204,89.71414309,0.068936877,70,0,7,3,69.2
Tony Barnette,33,Texas,FC,1035,88.15932367,0.055072464,50,0,2,1,57.1
Kyle Barraclough,27,Miami,FF,1159,88.45798611,0.06557377,66,0,6,2,66
Jake Barrett,25,Arizona,FF,471,92.86815287,0.055201699,28,0,1,1,27
Trevor Bauer,26,Cleveland,FF,3301,87.76645455,0.06270827,32,31,17,9,176.1
Buddy Baumann,29,San Diego,FF,297,88.44646465,0.070707071,23,0,2,1,17.2
