Name,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Fernando Abad,0.22496749,0,0,0,0.288686606,0,0,0.235370611,0.250975293,0,0,0,0,0
Tim Adleman,0.199231877,0.151704273,0,0,0.551128181,0,0,0.096495439,0,0,0.00144023,0,0,0
Andrew Albers,0.077455048,0.081604426,0,0,0.248962656,0,0,0,0,0,0,0,0.398340249,0.193637621
Matt Albers,0.059236948,0.001004016,0,0,0.375502008,0,0,0,0,0,0.001004016,0,0.298192771,0.265060241
Al Alburquerque,0.019011407,0,0,0,0.133079848,0,0,0.30418251,0,0,0,0,0,0.543726236
Raul Alcantara,0.187358916,0.020316027,0,0,0.372460497,0,0,0.248306998,0,0,0,0,0,0.171557562
Scott Alexander,0.017941454,0,0,0,0.119924457,0,0,0,0,0,0,0,0.819641171,0.042492918
Cody Allen,0,0,0,0,0.55581761,0,0,0,0.44418239,0,0,0,0,0
Dan Altavilla,0,0,0,0,0.597131682,0,0,0.029986962,0,0,0,0,0,0.372881356
Jose Alvarado,0,0.241900648,0,0,0.598272138,0,0,0.159827214,0,0,0,0,0,0
Dario Alvarez,0,0,0,0,0.375394322,0,0,0.009463722,0,0,0,0,0,0.615141956
Henderson Alvarez,0.252873563,0.042145594,0.026819923,0,0.406130268,0,0,0.210727969,0,0,0,0,0,0.061302682
Jose Alvarez,0.171052632,0.189473684,0,0.032894737,0.346052632,0,0,0.211842105,0,0,0,0,0,0.048684211
Brett Anderson,0.142697882,0,0,0,0.182831661,0,0,0,0.121516165,0,0,0,0.337792642,0.21516165
Chase Anderson,0.161190053,0.18250444,0,0.11722913,0.387211368,0,0,0.151865009,0,0,0,0,0,0
Tyler Anderson,0.306980057,0.001424501,0,0.225783476,0.45014245,0,0,0.015669516,0,0,0,0,0,0
Matt Andriese,0.306136681,0.170153417,0,0,0.442119944,0,0,0,0,0,0.00069735,0,0,0.080892608
Jayson Aquino,0.189873418,0.080168776,0,0.232067511,0.493670886,0,0,0.004219409,0,0,0,0,0,0
Victor Arano,0.034883721,0,0,0,0.238372093,0,0,0.203488372,0,0,0,0,0,0.523255814
Chris Archer,0.080388693,0,0,0,0.474087161,0,0,0,0,0,0,0,0,0.445524146
