yearID,CPI,inflation
1985,107.6,2.230483271
1986,109.6,2.189781022
1987,113.6,2.112676056
1988,118.3,2.02874049
1989,124,1.935483871
1990,130.7,1.836266259
1991,136.2,1.762114537
1992,140.3,1.7106201
1993,144.5,1.660899654
1994,148.2,1.619433198
1995,152.4,1.57480315
1996,156.9,1.529636711
1997,160.5,1.495327103
1998,163,1.472392638
1999,166.6,1.44057623
2000,172.2,1.393728223
2001,177.1,1.355166573
2002,179.9,1.334074486
2003,184,1.304347826
2004,188.9,1.270513499
2005,195.3,1.228878648
2006,201.6,1.19047619
2007,207.3,1.157742402
2008,215.3,1.114723641
2009,214.5,1.118881119
2010,218.1,1.100412655
2011,224.9,1.067140952
2012,229.6,1.045296167
2013,233,1.030042918
2014,236.7,1.013941698
2015,237,1.012658228
2016,240,1
