rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual
1,Mike Trout,LAA,OF,"$34,083,333",6 (2015-20),"$144,500,000","$24,083,333"
2,Clayton Kershaw,LAD,SP,"$34,000,000",7 (2014-20),"$215,000,000","$30,714,286"
3,Zack Greinke,ARI,SP,"$31,954,483",6 (2016-21),"$206,500,000","$34,416,667"
4,Jake Arrieta,PHI,SP,"$30,000,000",3 (2018-20),"$75,000,000","$25,000,000"
5,David Price,BOS,SP,"$30,000,000",7 (2016-22),"$217,000,000","$31,000,000"
6,Miguel Cabrera,DET,1B,"$30,000,000",10 (2014-23),"$292,000,000","$29,200,000"
7,Yoenis Cespedes,NYM,OF,"$29,000,000",4 (2017-20),"$110,000,000","$27,500,000"
8,Justin Verlander,HOU,SP,"$28,000,000",7 (2013-19),"$180,000,000","$25,714,286"
9,Jon Lester,CHC,SP,"$27,500,000",6 (2015-20),"$155,000,000","$25,833,333"
10,Albert Pujols,LAA,1B,"$27,000,000",10 (2012-21),"$240,000,000","$24,000,000"
11,Felix Hernandez,SEA,SP,"$26,857,143",7 (2013-19),"$175,000,000","$25,000,000"
12,Jason Heyward,CHC,OF,"$26,055,288",8 (2016-23),"$184,000,000","$23,000,000"
13,Yu Darvish,CHC,SP,"$25,000,000",6 (2018-23),"$126,000,000","$21,000,000"
14,Joey Votto,CIN,1B,"$25,000,000",10 (2014-23),"$225,000,000","$22,500,000"
15,Giancarlo Stanton,NYY,OF,"$25,000,000",13 (2015-27),"$325,000,000","$25,000,000"
16,Robinson Cano,SEA,2B,"$24,000,000",10 (2014-23),"$240,000,000","$24,000,000"
17,Jordan Zimmermann,DET,SP,"$24,000,000",5 (2016-20),"$110,000,000","$22,000,000"
18,J.D. Martinez,BOS,OF,"$23,750,000",5 (2018-22),"$110,000,000","$22,000,000"
19,Josh Donaldson,TOR,3B,"$23,000,000",1 (2018),"$23,000,000","$23,000,000"
20,Joe Mauer,MIN,1B,"$23,000,000",8 (2011-18),"$184,000,000","$23,000,000"
21,Hanley Ramirez,BOS,1B,"$22,750,000",4 (2015-18),"$88,000,000","$22,000,000"
22,Johnny Cueto,SF,SP,"$22,666,666",6 (2016-21),"$130,000,000","$21,666,667"
23,Cole Hamels,TEX,SP,"$22,500,000",6 (2013-18),"$144,000,000","$24,000,000"
24,Adrian Gonzalez,NYM,1B,"$22,357,142",7 (2012-18),"$154,000,000","$22,000,000"
25,Buster Posey,SF,C,"$22,177,778",9 (2013-21),"$167,000,000","$18,555,556"
26,Max Scherzer,WSH,SP,"$22,142,857",7 (2015-21),"$210,000,000","$30,000,000"
27,Yadier Molina,STL,C,"$22,000,000",3 (2018-20),"$62,000,000","$20,666,667"
28,Ian Desmond,COL,1B,"$22,000,000",5 (2017-21),"$70,000,000","$14,000,000"
29,Masahiro Tanaka,NYY,SP,"$22,000,000",7 (2014-20),"$155,000,000","$22,142,857"
30,Jacoby Ellsbury,NYY,OF,"$21,857,142",7 (2014-20),"$153,000,000","$21,857,143"
31,Bryce Harper,WSH,OF,"$21,625,000",1 (2018),"$21,625,000","$21,625,000"
32,Eric Hosmer,SD,1B,"$21,625,000",8 (2018-25),"$144,000,000","$18,000,000"
33,Matt Kemp,LAD,OF,"$21,500,000",8 (2012-19),"$160,000,000","$20,000,000"
34,Freddie Freeman,ATL,1B,"$21,359,375",8 (2014-21),"$135,000,000","$16,875,000"
35,James Shields,CWS,SP,"$21,250,000",4 (2015-18),"$75,000,000","$18,750,000"
36,Chris Davis,BAL,1B,"$21,169,326",7 (2016-22),"$161,000,000","$23,000,000"
37,Rick Porcello,BOS,SP,"$21,125,000",4 (2016-19),"$82,500,000","$20,625,000"
38,Homer Bailey,CIN,SP,"$21,000,000",6 (2014-19),"$105,000,000","$17,500,000"
39,Alex Gordon,KC,OF,"$21,000,000",4 (2016-19),"$72,000,000","$18,000,000"
40,Russell Martin,TOR,C,"$20,000,000",5 (2015-19),"$82,000,000","$16,400,000"
41,Troy Tulowitzki,TOR,SS,"$20,000,000",10 (2011-20),"$157,750,000","$15,775,000"
42,Shin-Soo Choo,TEX,OF,"$20,000,000",7 (2014-20),"$130,000,000","$18,571,429"
43,Jeff Samardzija,SF,SP,"$19,800,000",5 (2016-20),"$90,000,000","$18,000,000"
44,Pablo Sandoval,SF,3B,"$19,600,000",1 (2018),"$19,600,000","$19,600,000"
45,Adam Wainwright,STL,SP,"$19,500,000",5 (2014-18),"$97,500,000","$19,500,000"
46,David Wright,NYM,3B,"$19,399,744",8 (2013-20),"$138,000,000","$17,250,000"
47,Ryan Braun,MIL,OF,"$19,088,823",13 (2008-20),"$150,000,000","$11,538,462"
48,Kyle Seager,SEA,3B,"$19,000,000",7 (2015-21),"$100,000,000","$14,285,714"
49,Hunter Pence,SF,OF,"$18,700,000",5 (2014-18),"$90,000,000","$18,000,000"
50,Edwin Encarnacion,CLE,DH,"$18,666,667",3 (2017-19),"$60,000,000","$20,000,000"
51,Carlos Santana,PHI,1B,"$18,500,000",3 (2018-20),"$60,000,000","$20,000,000"
52,Mike Leake,SEA,SP,"$18,000,000",5 (2016-20),"$80,000,000","$16,000,000"
53,Adrian Beltre,TEX,3B,"$18,000,000",2 (2017-18),"$36,000,000","$18,000,000"
54,Victor Martinez,DET,DH,"$18,000,000",4 (2015-18),"$68,000,000","$17,000,000"
55,Nolan Arenado,COL,3B,"$17,750,000",2 (2017-18),"$29,500,000","$14,750,000"
56,Justin Upton,LAA,OF,"$17,700,000",5 (2018-22),"$106,000,000","$21,200,000"
57,Daniel Murphy,WSH,2B,"$17,500,000",3 (2016-18),"$37,500,000","$12,500,000"
58,Adam Jones,BAL,OF,"$17,393,152",6 (2013-18),"$85,500,000","$14,250,000"
59,Brandon Belt,SF,1B,"$17,200,000",5 (2017-21),"$72,800,000","$14,560,000"
60,Aroldis Chapman,NYY,RP,"$17,200,000",5 (2017-21),"$86,000,000","$17,200,000"
61,Brian McCann,HOU,C,"$17,000,000",5 (2014-18),"$85,000,000","$17,000,000"
62,Rich Hill,LAD,SP,"$16,666,667",3 (2017-19),"$48,000,000","$16,000,000"
63,Dexter Fowler,STL,OF,"$16,500,000",5 (2017-21),"$82,500,000","$16,500,000"
64,Ben Zobrist,CHC,2B,"$16,500,000",4 (2016-19),"$56,000,000","$14,000,000"
65,Stephen Strasburg,WSH,SP,"$16,428,571",7 (2017-23),"$175,000,000","$25,000,000"
66,Wade Davis,COL,RP,"$16,333,333",3 (2018-20),"$52,000,000","$17,333,333"
67,Manny Machado,BAL,SS,"$16,000,000",1 (2018),"$16,000,000","$16,000,000"
68,Ian Kennedy,KC,SP,"$16,000,000",5 (2016-20),"$70,000,000","$14,000,000"
69,Dustin Pedroia,BOS,2B,"$15,521,686",8 (2014-21),"$110,000,000","$13,750,000"
70,Elvis Andrus,TEX,SS,"$15,333,333",8 (2015-22),"$120,000,000","$15,000,000"
71,Brandon Crawford,SF,SS,"$15,200,000",6 (2016-21),"$75,000,000","$12,500,000"
72,Mark Melancon,SF,RP,"$15,000,000",4 (2017-20),"$62,000,000","$15,500,000"
73,Andrew McCutchen,SF,OF,"$14,750,000",1 (2018),"$14,750,000","$14,750,000"
74,Evan Longoria,SF,3B,"$14,500,000",6 (2017-22),"$100,000,000","$16,666,667"
75,Ryan Zimmerman,WSH,1B,"$14,333,333",6 (2014-19),"$100,000,000","$16,666,667"
76,Nelson Cruz,SEA,DH,"$14,250,000",4 (2015-18),"$57,000,000","$14,250,000"
77,Matt Carpenter,STL,1B,"$14,083,333",6 (2014-19),"$52,000,000","$8,666,667"
78,Lorenzo Cain,MIL,OF,"$14,000,000",5 (2018-22),"$80,000,000","$16,000,000"
79,Alex Cobb,BAL,SP,"$14,000,000",4 (2018-21),"$57,000,000","$14,250,000"
80,Charlie Blackmon,COL,OF,"$14,000,000",1 (2018),"$14,000,000","$14,000,000"
81,Danny Duffy,KC,SP,"$14,000,000",5 (2017-21),"$65,000,000","$13,000,000"
82,Craig Kimbrel,BOS,RP,"$13,900,000",1 (2018),"$13,900,000","$13,900,000"
83,Jason Kipnis,CLE,2B,"$13,666,667",6 (2014-19),"$52,500,000","$8,750,000"
84,Martin Prado,MIA,3B,"$13,500,000",3 (2017-19),"$40,000,000","$13,333,333"
85,Ervin Santana,MIN,SP,"$13,500,000",4 (2015-18),"$55,000,000","$13,750,000"
86,Dallas Keuchel,HOU,SP,"$13,200,000",1 (2018),"$13,200,000","$13,200,000"
87,Phil Hughes,MIN,RP,"$13,200,000",5 (2015-19),"$58,000,000","$11,600,000"
