yearID,lgID,teamID,name,divID,Rank,W,L
2017,NL,ARI,Arizona Diamondbacks,W,2,93,69
2017,NL,ATL,Atlanta Braves,E,3,72,90
2017,AL,BAL,Baltimore Orioles,E,5,75,87
2017,AL,BOS,Boston Red Sox,E,1,93,69
2017,AL,CHA,Chicago White Sox,C,4,67,95
2017,NL,CHN,Chicago Cubs,C,1,92,70
2017,NL,CIN,Cincinnati Reds,C,5,68,94
2017,AL,CLE,Cleveland Indians,C,1,102,60
2017,NL,COL,Colorado Rockies,W,3,87,75
2017,AL,DET,Detroit Tigers,C,5,64,98
2017,AL,HOU,Houston Astros,W,1,101,61
2017,AL,KCA,Kansas City Royals,C,3,80,82
2017,AL,LAA,Los Angeles Angels,W,2,80,82
2017,NL,LAN,Los Angeles Dodgers,W,1,104,58
2017,NL,MIA,Miami Marlins,E,2,77,85
2017,NL,MIL,Milwaukee Brewers,C,2,86,76
2017,AL,MIN,Minnesota Twins,C,2,85,77
2017,AL,NYA,New York Yankees,E,2,91,71
2017,NL,NYN,New York Mets,E,4,70,92
2017,AL,OAK,Oakland Athletics,W,5,75,87
2017,NL,PHI,Philadelphia Phillies,E,5,66,96
2017,NL,PIT,Pittsburgh Pirates,C,4,75,87
2017,NL,SDN,San Diego Padres,W,4,71,91
2017,AL,SEA,Seattle Mariners,W,3,78,84
2017,NL,SFN,San Francisco Giants,W,5,64,98
2017,NL,SLN,St. Louis Cardinals,C,3,83,79
2017,AL,TBA,Tampa Bay Rays,E,3,80,82
2017,AL,TEX,Texas Rangers,W,4,78,84
2017,AL,TOR,Toronto Blue Jays,E,4,76,86
2017,NL,WAS,Washington Nationals,E,1,97,65
