Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP,Lev,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Fernando Abad,31,Boston,FF,769,84.73407022106639,0.04811443433029909,48,0,2.0,1.0,43.2,MLB-AL,0.22496749024707413,,,,0.2886866059817945,,,0.235370611183355,0.25097529258777634,,,,,
Tim Adleman,29,Cincinnati,FF,2088,86.41224195871308,0.05172413793103448,30,20,5.0,11.0,122.1,MLB-NL,0.19923187710033605,0.15170427268362938,,,0.5511281805088815,,,0.09649543927028324,,,0.0014402304368698992,,,
Andrew Albers,31,Seattle,SI,723,83.84716459197787,0.051175656984785614,9,6,5.0,1.0,41.0,MLB-AL,0.07745504840940526,0.08160442600276625,,,0.24896265560165975,,,,,,,,0.3983402489626556,0.19363762102351315
Matt Albers,34,Washington,FF,1007,90.99879518072285,0.06256206554121152,63,0,7.0,2.0,61.0,MLB-NL,0.05923694779116466,0.001004016064257028,,,0.3755020080321285,,,,,,0.001004016064257028,,0.29819277108433734,0.26506024096385544
Al Alburquerque,31,"Kansas City,Chicago",SL,263,90.38212927756656,0.053231939163498096,21,0,,2.0,18.0,MLB-AL,0.019011406844106463,,,,0.13307984790874525,,,0.3041825095057034,,,,,,0.5437262357414449
Raul Alcantara,24,Oakland,FF,444,92.02957110609475,0.02702702702702703,8,4,1.0,2.0,24.0,MLB-AL,0.1873589164785553,0.020316027088036117,,,0.3724604966139955,,,0.24830699774266365,,,,,,0.17155756207674944
Scott Alexander,27,Kansas City,SI,1059,92.76723323890454,0.05571293673276676,58,0,5.0,4.0,69.0,MLB-AL,0.01794145420207743,,,,0.11992445703493862,,,,,,,,0.8196411709159585,0.042492917847025496
Cody Allen,28,Cleveland,FF,1277,89.77225705329165,0.07830853563038372,69,0,3.0,7.0,67.1,MLB-AL,,,,,0.5558176100628931,,,,0.4441823899371069,,,,,
Dan Altavilla,24,Seattle,FF,768,93.43777777777775,0.06770833333333333,41,0,1.0,1.0,46.2,MLB-AL,,,,,0.5971316818774446,,,0.02998696219035202,,,,,,0.3728813559322034
Jose Alvarado,22,Tampa Bay,FF,463,95.27424242424244,0.06263498920086392,35,0,,3.0,29.2,MLB-AL,,0.24190064794816415,,,0.5982721382289417,,,0.15982721382289417,,,,,,
Dario Alvarez,28,Texas,SL,321,85.90781249999999,0.0529595015576324,20,0,2.0,,16.1,MLB-AL,,,,,0.3753943217665615,,,0.00946372239747634,,,,,,0.6151419558359621
Henderson Alvarez,27,Philadelphia,FF,261,88.54214559386969,0.022988505747126436,3,3,,1.0,14.2,MLB-NL,0.25287356321839083,0.0421455938697318,0.02681992337164751,,0.4061302681992337,,,0.210727969348659,,,,,,0.06130268199233716
Jose Alvarez,28,Los Angeles,FF,760,86.82434210526317,0.05921052631578947,64,0,,3.0,48.2,MLB-AL,0.17105263157894737,0.18947368421052632,,0.03289473684210526,0.3460526315789474,,,0.2118421052631579,,,,,,0.04868421052631579
Brett Anderson,29,"Chicago,Toronto",SI,900,85.90602006688967,0.042222222222222223,13,13,4.0,4.0,55.1,"MLB-NL,MLB-AL",0.1426978818283166,,,,0.18283166109253066,,,,0.12151616499442586,,,,0.3377926421404682,0.21516164994425863
Chase Anderson,29,Milwaukee,FF,2254,88.37769880053293,0.059006211180124224,25,25,12.0,4.0,141.1,MLB-NL,0.16119005328596803,0.1825044404973357,,0.1172291296625222,0.3872113676731794,,,0.15186500888099466,,,,,,
Tyler Anderson,27,Colorado,FF,1416,88.10176928520872,0.05790960451977401,17,15,6.0,6.0,86.0,MLB-NL,0.306980056980057,0.0014245014245014246,,0.2257834757834758,0.45014245014245013,,,0.01566951566951567,,,,,,
